央视频道,#genre#

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8


CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$移动|回看
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8$移动|回看
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8$移动|回看
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8$移动|回看
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8$移动|回看
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8$移动|回看
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8$移动|回看
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8$移动|回看
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8$移动|回看
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8$移动|回看
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8$移动|回看
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8$移动|回看
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8$移动|回看
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8$移动|回看
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8$移动|回看
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8$移动|回看
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8$移动|回看
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8$移动|回看
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8$移动高清|回看
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221226123/1.m3u8$移动高清|回看
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221226125/1.m3u8$移动高清|回看
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221226128/1.m3u8$移动高清|回看

//北京
CCTV1,https://tv.bfsu.edu.cn/hls/cctv1hd.m3u8
CCTV2,https://tv.bfsu.edu.cn/hls/cctv2hd.m3u8
CCTV3,https://tv.bfsu.edu.cn/hls/cctv3hd.m3u8
CCTV4,https://tv.bfsu.edu.cn/hls/cctv4hd.m3u8
CCTV5,https://tv.bfsu.edu.cn/hls/cctv5hd.m3u8
CCTV5+,https://tv.bfsu.edu.cn/hls/cctv5phd.m3u8
CCTV6,https://tv.bfsu.edu.cn/hls/cctv6hd.m3u8
CCTV7,https://tv.bfsu.edu.cn/hls/cctv7hd.m3u8
CCTV8,https://tv.bfsu.edu.cn/hls/cctv8hd.m3u8
CCTV9,https://tv.bfsu.edu.cn/hls/cctv9hd.m3u8
CCTV10,https://tv.bfsu.edu.cn/hls/cctv10hd.m3u8
CCTV11,https://tv.bfsu.edu.cn/hls/cctv11hd.m3u8
CCTV12,https://tv.bfsu.edu.cn/hls/cctv12hd.m3u8
CCTV13,https://tv.bfsu.edu.cn/hls/cctv13hd.m3u8
CCTV14,https://tv.bfsu.edu.cn/hls/cctv14hd.m3u8
CCTV15,https://tv.bfsu.edu.cn/hls/cctv15hd.m3u8
CCTV16,https://tv.bfsu.edu.cn/hls/cctv16hd.m3u8
CCTV17,https://tv.bfsu.edu.cn/hls/cctv17hd.m3u8


CHC动作电影,http://eastscreen.tv/ooooo.php?id=chcdz
CHC家庭影院,http://eastscreen.tv/ooooo.php?id=chcjt
CHC影迷电影,http://eastscreen.tv/ooooo.php?id=chchd


CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV7,http://123.101.98.20:2001/rtp/239.16.20.51:10510
CCTV7,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-CCTV7
CCTV8,http://119.98.133.138:4000/rtp/239.69.1.125:10388
CCTV10,http://222.95.182.110:4022/rtp/239.49.8.134:6000
CCTV10,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-CCTV10
CCTV11,http://119.4.229.245:4022/udp/239.93.0.102:5140
CCTV12,http://42.237.183.200:4000/rtp/225.1.4.79:1108
CCTV13,http://kxrj.site:998/123/mg.php?id=CCTV13&咪咕
CCTV13,http://111.199.2.111:8686/rtp/239.3.1.124:8128
CCTV14,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-CCTV14
CCTV14,http://114.225.119.159:50805/rtp/239.49.8.136:6000
CCTV15,http://113.102.162.206:4022/udp/239.77.1.239:5146
CCTV15,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-CCTV15
CCTV16,http://27.19.208.231:4022/rtp/239.69.1.247:11124
CCTV17,http://111.193.238.245:8888/rtp/239.3.1.151:8144

CCTV1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV16,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225893/index.m3u8
CCTV17,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

//辽宁
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV12,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV17,http://120.76.248.139/live/bfgd/4200000204.m3u8
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV9,http://120.76.248.139/live/bfgd/4200000128.m3u8


CCTV4K,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010006/1.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.CCTV.cn/live/4K10M.stream/playlist.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.CCTV.cn/live/4K10M.stream/1.m3u8
CCTV4K,http://43.141.130.51/dongfang5g-mobile-v51-live.bestvcdn.com.cn/SB/live/program/live/CCTV4中文国际k/15000000/mnf.m3u8
CETV1,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV2,http://[2409:8087:1a0b:df::4013]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV4,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
CGTN,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTN记录,https://0472.org/hls/cgtn.m3u8
CGTN记录,http://27.17.205.98:8118/rtp/239.69.1.233:11040
CGTN记录,https://live.cgtn.com/1000/prog_index.m3u8
CHC动作,http://115.60.241.249:2000/rtp/225.1.4.208:1261
CHC动作,http://1b6467f415.iok.la:9931/tsfile/live/1047_1.m3u8
CHC家庭影院,http://1b6467f415.iok.la:9931/tsfile/live/1046_1.m3u8
CHC家庭影院,http://nas.tuyuannet.cn:8800/rtp/239.37.0.188:5540
CHC动作,http://171.104.192.160:8181/tsfile/live/1063_1.m3u8
CHC家庭影院,http://171.104.192.160:8181/tsfile/live/1062_1.m3u8
CHC影迷影院,http://171.104.192.160:8181/tsfile/live/1064_1.m3u8


CCTV1,http://58.17.48.228:808/hls/1/index.m3u8$IPTV
CCTV2,http://58.17.48.228:808/hls/2/index.m3u8$IPTV
CCTV3,http://58.17.48.228:808/hls/3/index.m3u8$IPTV
国学频道,http://58.17.48.228:808/hls/30/index.m3u8$IPTV
CCTV10,http://58.17.48.228:808/hls/10/index.m3u8$IPTV
CCTV4,http://58.17.48.228:808/hls/4/index.m3u8$IPTV

//电视伴音
CCTV1,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8
CCTV2,https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8
CCTV3,https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8
CCTV4,https://piccpndali.v.myalicdn.com/audio/cctv4_2.m3u8
CCTV5,https://piccpndali.v.myalicdn.com/audio/cctv5_2.m3u8
CCTV5+,https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8
CCTV6,https://piccpndali.v.myalicdn.com/audio/cctv6_2.m3u8
CCTV7,https://piccpndali.v.myalicdn.com/audio/cctv7_2.m3u8
CCTV8,https://piccpndali.v.myalicdn.com/audio/cctv8_2.m3u8
CCTV9,https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8
CCTV10,https://piccpndali.v.myalicdn.com/audio/cctv10_2.m3u8
CCTV11,https://piccpndali.v.myalicdn.com/audio/cctv11_2.m3u8
CCTV12,https://piccpndali.v.myalicdn.com/audio/cctv12_2.m3u8
CCTV13,https://piccpndali.v.myalicdn.com/audio/cctv13_2.m3u8
CCTV14,https://piccpndali.v.myalicdn.com/audio/cctv14_2.m3u8
CCTV15,https://piccpndali.v.myalicdn.com/audio/cctv15_2.m3u8
CCTV16,https://piccpndali.v.myalicdn.com/audio/cctv16_2.m3u8
CCTV17,https://piccpndali.v.myalicdn.com/audio/cctv17_2.m3u8

央卫咪咕,#genre#

CCTV-01咪咕,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-02咪咕,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-03咪咕,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-04咪咕,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-05咪咕,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+咪咕,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-06咪咕,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-07咪咕,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-08咪咕,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-09咪咕,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10咪咕,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11咪咕,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12咪咕,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13咪咕,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14咪咕,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15咪咕,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-16咪咕,https://yunmei.tv/main/cctv-16.m3u8
CCTV-17咪咕,http://z.b.bkpcp.top/m.php?id=cctv17
cct4欧洲咪咕,http://z.b.bkpcp.top/m.php?id=cctv4o
cct4美洲咪咕,http://z.b.bkpcp.top/m.php?id=cctv4m
家庭影院咪咕,http://z.b.bkpcp.top/m.php?id=jtyy
东方影视咪咕,http://z.b.bkpcp.top/m.php?id=shys
陕西卫视咪咕,http://z.b.bkpcp.top/m.php?id=sxws
湖北卫视咪咕,http://z.b.bkpcp.top/m.php?id=hubws
江西卫视咪咕,http://z.b.bkpcp.top/m.php?id=jxws
江苏卫视咪咕,http://z.b.bkpcp.top/m.php?id=jsws
广东卫视咪咕,http://z.b.bkpcp.top/m.php?id=gdws
游戏风云咪咕,http://z.b.bkpcp.top/m.php?id=yxfy
七彩戏剧咪咕,http://z.b.bkpcp.top/m.php?id=qcxj
欢笑剧场咪咕,http://z.b.bkpcp.top/m.php?id=hxjc
劲爆体育咪咕,http://z.b.bkpcp.top/m.php?id=jbty
魅力足球咪咕,http://z.b.bkpcp.top/m.php?id=mlzq
CCTV-01咪咕,http://goo.bkpcp.top/mg/cctv1
CCTV-02咪咕,http://goo.bkpcp.top/mg/cctv2
CCTV-03咪咕,http://goo.bkpcp.top/mg/cctv3
CCTV-04咪咕,http://goo.bkpcp.top/mg/cctv4
CCTV-05咪咕,http://goo.bkpcp.top/mg/cctv5
CCTV-06咪咕,http://goo.bkpcp.top/mg/cctv6
CCTV-07咪咕,http://goo.bkpcp.top/mg/cctv7
CCTV-08咪咕,http://goo.bkpcp.top/mg/cctv8
CCTV-09咪咕,http://goo.bkpcp.top/mg/cctv9
CCTV-10咪咕,http://goo.bkpcp.top/mg/cctv10
CCTV-11咪咕,http://goo.bkpcp.top/mg/cctv11
CCTV-12咪咕,http://goo.bkpcp.top/mg/cctv12
CCTV-13咪咕,http://goo.bkpcp.top/mg/cctv13
CCTV-14咪咕,http://goo.bkpcp.top/mg/cctv14
CCTV-15咪咕,http://goo.bkpcp.top/mg/cctv15
CCTV-16咪咕,https://yunmei.tv/main/cctv-16.m3u8
CCTV-17咪咕,http://goo.bkpcp.top/mg/cctv17
cct4欧洲咪咕,http://goo.bkpcp.top/mg/cctv4o
cct4美洲咪咕,http://goo.bkpcp.top/mg/cctv4m
CGT西语咪咕,http://goo.bkpcp.top/mg/cgtne
CGT阿语咪咕,http://goo.bkpcp.top/mg/cgtna
CGT法语咪咕,http://goo.bkpcp.top/mg/cgtnf
家庭影院咪咕,http://goo.bkpcp.top/mg/chcjt
动作电影咪咕,http://goo.bkpcp.top/mg/chcdz
东方卫视咪咕,http://goo.bkpcp.top/mg/dfws
陕西卫视咪咕,http://goo.bkpcp.top/mg/sxws
湖北卫视咪咕,http://goo.bkpcp.top/mg/hubws
江西卫视咪咕,http://goo.bkpcp.top/mg/jxws
江苏卫视咪咕,http://goo.bkpcp.top/mg/jsws
海南卫视咪咕,http://goo.bkpcp.top/mg/hinws
四海钓鱼咪咕,http://goo.bkpcp.top/mg/shdy
山东教育咪咕,http://goo.bkpcp.top/mg/sdjy
游戏风云咪咕,http://goo.bkpcp.top/mg/yxfy
之江纪录咪咕,http://goo.bkpcp.top/mg/zjjl
杭州综合咪咕,http://goo.bkpcp.top/mg/hzzh
杭州明珠咪咕,http://goo.bkpcp.top/mg/hzmz
杭州生活咪咕,http://goo.bkpcp.top/mg/hzsh
杭州影视咪咕,http://goo.bkpcp.top/mg/hzys
杭州少体咪咕,http://goo.bkpcp.top/mg/hzse
嵊泗综合咪咕,http://goo.bkpcp.top/mg/ssxwzh
经典电影咪咕,http://goo.bkpcp.top/mg/jdxgdy
军事大片咪咕,http://goo.bkpcp.top/mg/jsdp
热剧联播咪咕,http://goo.bkpcp.top/mg/rjlb
新片映厅咪咕,http://goo.bkpcp.top/mg/xpfyt
Y+剧场台咪咕,http://goo.bkpcp.top/mg/yjjc
CCTV-01咪咕,http://tv.20191209.xyz:37377/migu/608807420.m3u8?migutoken=004b385f879c68b1898b3b528c53ce2cc69a05fc6ccef397d5ff725950f98cc37983a6c0565ab535a964de0b80663b3a394fd8a43c51d0547d2e232162525de45bdb07292d1fc1944aea97f0
CCTV-02咪咕,http://tv.20191209.xyz:37377/migu/631780532.m3u8?migutoken=862217ff2cffee0a741039e700509cb8f9a8b1920fe6cee55afb89ef1551eba3ecc744e93cf8e52cd8b4bf1a27c7a074745b640058072bfa4ad145917cdeb959261218d7b78174684a74ae78
CCTV-03咪咕,http://tv.20191209.xyz:37377/migu/624878271.m3u8?migutoken=6bf1444e1fd674ffdba5c57e719cecb87358abd9dfd0059ccfaceb24503ca14f393ec4b44fc2a4b2b5eded13d1f30a2052d85600414a1274345fcd95bd9848cf13bffeef1945f996928f0095
CCTV-04咪咕,http://tv.20191209.xyz:37377/migu/631780421.m3u8?migutoken=40b6a739d50c9611ac1bd3d6237cc8012f7bd8bd06945da894d03e393a3af480e950d8dc5e1a28cc2b74626afd48a747c2298114358e3f95be67743f3627ea5c2b12422eb6f434b52d57ce8c
CCTV-05咪咕,http://tv.20191209.xyz:37377/migu/641886683.m3u8?migutoken=81d12cec2983a402e950068a320720875c9b84d86ead50b7ee5cc3d407f55f3d85a8e298762710bc211027e047162ea27025e20dda4ac4921a6c1d8b950dbe297e15174889d5122c0e3462d0
CCTV-5+咪咕,http://tv.20191209.xyz:37377/migu/641886773.m3u8?migutoken=dfc218ce4c1ff00475c0aef03e0b883bf8a277b36671d5ca1eb7cc5f7ce7919d01ee050351170891d6e103aa7adea25827c13c901ccf6cdf4a8a370e7fd90c8b198dcb1e8814bbf2ed4fb0c8
CCTV-06咪咕,http://tv.20191209.xyz:37377/migu/624878396.m3u8?migutoken=14b6f481c50ac947cd74bf4b212c490bc99f4bebefd4ce18011c9eb269208a0ce9740af370135e855763df734bac8f57f36721ae54b6afc81829420e84f46c65a2de80938b057c6ec23459eb
CCTV-07咪咕,http://tv.20191209.xyz:37377/migu/673168121.m3u8?migutoken=76fbb50f9a12de455452a0b92fde921c6a9a596f2e4035246492270152653570a478746ff105876f101081cb38974e61faa26aebb018bef93a4d7b8a840fa3beb2b478fdb581d84460caa867
CCTV-08咪咕,http://tv.20191209.xyz:37377/migu/624878356.m3u8?migutoken=9d347588ab808559db972d3c94b0d970ec130153e4a6dde98c4466f1d3f85f58de23d16994f2f0ed903aa6727a7282cb17103e67b69c8e3f31d253bb78039a4df119e2cfeba6916d123a8003
